Date,Time,WindPower,SolarPower
2022/1/1,0:00,0.56 ,0.00157
2022/1/1,1:00,0.78 ,0.00083
2022/1/1,2:00,0.85 ,0.00023
2022/1/1,3:00,0.96 ,0.00227
2022/1/1,4:00,0.92 ,0.00046
2022/1/1,5:00,0.91 ,0.00065
2022/1/1,6:00,0.93 ,0.00083
2022/1/1,7:00,0.72 ,0
2022/1/1,8:00,0.61 ,0
2022/1/1,9:00,0.73 ,0.04093
2022/1/1,10:00,0.55 ,0.34545
2022/1/1,11:00,0.37 ,0.64135
2022/1/1,12:00,0.39 ,0.85447
2022/1/1,13:00,0.51 ,0.92306
2022/1/1,14:00,0.52 ,0.90992
2022/1/1,15:00,0.62 ,0.47139
2022/1/1,16:00,0.71 ,0.66481
2022/1/1,17:00,0.81 ,0.20896
2022/1/1,18:00,0.65 ,0
2022/1/1,19:00,0.91 ,0
2022/1/1,20:00,0.96 ,0
2022/1/1,21:00,0.86 ,0.00111
2022/1/1,22:00,0.81 ,0.00176
2022/1/1,23:00,0.93 ,0.00157
2022/1/2,0:00,0.99 ,0.00032
2022/1/2,1:00,1.00 ,0.00227
2022/1/2,2:00,0.94 ,0.00009
2022/1/2,3:00,0.97 ,0.00097
2022/1/2,4:00,0.99 ,0.00074
2022/1/2,5:00,1.00 ,0.00019
2022/1/2,6:00,1.00 ,0.00042
2022/1/2,7:00,1.00 ,0
2022/1/2,8:00,1.00 ,0
2022/1/2,9:00,1.00 ,0.04463
2022/1/2,10:00,0.32 ,0.25115
2022/1/2,11:00,0.92 ,0.6448
2022/1/2,12:00,0.83 ,0.87313
2022/1/2,13:00,0.70 ,0.94878
2022/1/2,14:00,0.44 ,0.9514
2022/1/2,15:00,0.27 ,0.90412
2022/1/2,16:00,0.25 ,0.66782
2022/1/2,17:00,0.20 ,0.24753
2022/1/2,18:00,0.18 ,0.00074
2022/1/2,19:00,0.28 ,0
2022/1/2,20:00,0.25 ,0
2022/1/2,21:00,0.34 ,0.00162
2022/1/2,22:00,0.15 ,0.0013
2022/1/2,23:00,0.31 ,0.00143
2022/1/3,0:00,0.63 ,0.00153
2022/1/3,1:00,0.96 ,0.00046
2022/1/3,2:00,0.97 ,0.00019
2022/1/3,3:00,0.97 ,0.00014
2022/1/3,4:00,0.97 ,0.00106
2022/1/3,5:00,0.99 ,0.0012
2022/1/3,6:00,0.99 ,0.00139
2022/1/3,7:00,0.99 ,0
2022/1/3,8:00,0.99 ,0
2022/1/3,9:00,0.96 ,0.03312
2022/1/3,10:00,0.87 ,0.34008
2022/1/3,11:00,0.60 ,0.63906
2022/1/3,12:00,0.46 ,0.86219
2022/1/3,13:00,0.46 ,0.94051
2022/1/3,14:00,0.68 ,0.94142
2022/1/3,15:00,0.75 ,0.88909
2022/1/3,16:00,0.92 ,0.74211
2022/1/3,17:00,0.85 ,0.24712
2022/1/3,18:00,0.83 ,0.00153
2022/1/3,19:00,0.93 ,0
2022/1/3,20:00,0.97 ,0
2022/1/3,21:00,1.00 ,0.00116
2022/1/3,22:00,1.00 ,0.00088
2022/1/3,23:00,1.00 ,0.00069
2022/1/4,0:00,1.00 ,0.0019
2022/1/4,1:00,1.00 ,0.00065
2022/1/4,2:00,0.99 ,0.00028
2022/1/4,3:00,0.98 ,0.00143
2022/1/4,4:00,0.99 ,0.00125
2022/1/4,5:00,0.99 ,0.0006
2022/1/4,6:00,0.98 ,0
2022/1/4,7:00,0.99 ,0
2022/1/4,8:00,1.00 ,0
2022/1/4,9:00,1.00 ,0.04958
2022/1/4,10:00,0.98 ,0.35151
2022/1/4,11:00,0.74 ,0.64768
2022/1/4,12:00,0.53 ,0.88746
2022/1/4,13:00,0.47 ,0.95544
2022/1/4,14:00,0.40 ,0.9489
2022/1/4,15:00,0.37 ,0.89729
2022/1/4,16:00,0.42 ,0.7757
2022/1/4,17:00,0.52 ,0.18126
2022/1/4,18:00,0.39 ,0
2022/1/4,19:00,0.46 ,0
2022/1/4,20:00,0.86 ,0
2022/1/4,21:00,0.95 ,0.00037
2022/1/4,22:00,0.92 ,0.00065
2022/1/4,23:00,0.94 ,0.00162
2022/1/5,0:00,0.95 ,0.0013
2022/1/5,1:00,0.98 ,0.00111
2022/1/5,2:00,0.99 ,0.00088
2022/1/5,3:00,0.99 ,0.00111
2022/1/5,4:00,0.97 ,0.00106
2022/1/5,5:00,0.92 ,0.00069
2022/1/5,6:00,0.93 ,0.00125
2022/1/5,7:00,0.94 ,0
2022/1/5,8:00,0.96 ,0
2022/1/5,9:00,0.95 ,0.0506
2022/1/5,10:00,0.86 ,0.37523
2022/1/5,11:00,0.55 ,0.68314
2022/1/5,12:00,0.64 ,0.89326
2022/1/5,13:00,0.51 ,0.95948
2022/1/5,14:00,0.35 ,0.96158
2022/1/5,15:00,0.19 ,0.91599
2022/1/5,16:00,0.13 ,0.68928
2022/1/5,17:00,0.13 ,0.25655
2022/1/5,18:00,0.14 ,0.00032
2022/1/5,19:00,0.16 ,0
2022/1/5,20:00,0.16 ,0
2022/1/5,21:00,0.07 ,0.00042
2022/1/5,22:00,0.04 ,0
2022/1/5,23:00,0.01 ,0.00157
2022/1/6,0:00,0.04 ,0.00116
2022/1/6,1:00,0.07 ,0
2022/1/6,2:00,0.13 ,0.00056
2022/1/6,3:00,0.10 ,0.00116
2022/1/6,4:00,0.07 ,0.00088
2022/1/6,5:00,0.04 ,0
2022/1/6,6:00,0.03 ,0
2022/1/6,7:00,0.19 ,0
2022/1/6,8:00,0.37 ,0
2022/1/6,9:00,0.39 ,0.04292
2022/1/6,10:00,0.18 ,0.29559
